TransactionID,TransactionAmount,TransactionHour,CustomerAge,AccountAgeDays,NumPrevTransactions,DistanceFromHomeKM,IsFraud
113,216.44,3,23,40,2,500.43,1
114,89.51,16,32,250,29,6.45,0
115,13.34,17,65,2611,30,4.26,0
116,95.52,15,25,1803,26,25.73,0
117,159.36,12,45,1414,29,3.94,0
118,702.01,3,63,16,1,277.25,1
119,26.61,7,34,1214,16,5.51,0
120,38.4,14,48,2328,22,9.45,0
121,69.9,8,31,601,20,4.28,0
122,20.02,14,41,2942,30,3.86,0
123,75.8,10,38,1664,22,7.25,0
124,28.96,4,54,1515,28,10.08,0
125,46.02,12,56,1507,35,2.19,0
126,116.04,12,63,2099,16,21.12,0
127,38.37,12,31,509,25,12.01,0
128,104.13,11,34,535,33,3.44,0
129,65.26,15,60,652,22,7.98,0
130,180.84,8,21,1294,18,14.02,0
131,106.34,16,20,2597,22,13.31,0
132,66.49,12,46,1382,28,6.63,0
133,61.29,15,25,1390,24,10.26,0
134,623.43,0,38,37,2,284.83,1
135,41.77,14,19,1299,25,7.01,0
136,130.24,7,35,1124,21,1.21,0
137,30.65,5,41,192,25,9.15,0
138,67.32,14,33,952,38,2.02,0
139,75.91,9,23,2360,28,4.89,0
140,144.81,16,44,1217,22,9.87,0
141,64.83,15,67,119,24,9.12,0
142,105.86,11,51,1149,23,0.96,0
143,51.94,12,25,1049,31,36.66,0
144,34.74,10,49,2283,24,7.01,0
145,76.2,13,50,820,20,6.77,0
146,217.74,13,27,2775,20,13.68,0
147,58.4,14,62,2506,26,8.46,0
148,72.82,21,36,1409,32,5.34,0
149,113.63,15,19,2918,21,2.35,0
150,58.95,7,35,1902,23,12.74,0
151,23.26,10,41,1849,29,4.38,0
152,191.49,12,21,1671,20,12.18,0
153,390.71,1,30,17,3,255.13,1
154,17.22,17,62,377,31,0.49,0
155,298.08,23,22,26,4,71.26,1
156,172.78,17,57,1241,21,11.6,0
157,12.41,13,34,1988,26,28.42,0
158,33.18,13,38,2964,21,8.75,0
159,17.03,17,55,257,29,5.86,0
160,42.91,11,65,405,20,17.62,0
161,78.94,21,36,1449,21,23.09,0
162,65.88,7,61,678,34,5.44,0
163,21.24,11,61,1208,29,1.69,0
164,52.45,17,64,1725,26,1.73,0
165,96.86,18,59,2156,22,6.37,0
166,34.82,13,25,2506,21,9.3,0
167,55.07,7,49,1564,24,15.98,0
168,32.16,10,43,1067,26,9.99,0
169,97.94,10,59,2605,26,6.59,0
170,38.35,14,18,595,30,15.65,0
171,60.38,13,66,2829,22,4.32,0
172,56.22,22,61,785,22,5.64,0
173,25.25,11,36,2726,23,10.05,0
174,480.05,2,29,48,2,82.64,1
175,148.85,15,32,1209,18,5.84,0
176,140.64,13,23,2512,21,3.98,0
177,17.78,18,55,152,19,6.02,0
178,87.45,14,32,1808,25,1.65,0
179,49.54,14,33,2970,21,5.85,0
180,18.78,12,26,204,23,3.52,0
181,48.58,14,29,333,30,1.41,0
182,27.54,13,22,1171,30,6.72,0
183,69.77,12,45,1937,25,32.27,0
184,77.2,7,66,891,20,12.4,0
185,233.18,16,23,985,24,5.51,0
186,36.13,10,31,173,24,10.99,0
187,111.61,12,42,328,26,9.55,0
188,46.96,13,30,1260,18,11.69,0
189,542.32,3,31,2,3,191.67,1
190,102.69,19,40,1970,20,5.99,0
191,1115.2,4,33,4,3,167.93,1
192,89.19,13,33,374,23,5.86,0
193,38.82,9,45,2558,29,13.29,0
194,43.77,14,57,1527,24,8.68,0
195,89.64,16,60,1488,26,13.38,0
196,42.3,8,39,1533,32,16.83,0
197,119.32,8,34,2289,27,42.36,0
198,65.72,14,34,1741,22,10.36,0
199,94.46,18,67,2404,24,2.22,0
200,14.37,12,66,1840,21,11.88,0
201,137.51,10,37,1932,35,26.18,0
202,110.34,19,23,776,23,16.16,0
203,41.82,14,56,734,19,12.77,0
204,45.93,11,36,2682,27,9.96,0
205,201.52,19,22,1544,23,6.1,0
206,136.67,15,20,2700,29,12.98,0
207,48.68,21,67,41,36,1.56,0
208,38.65,19,47,1245,20,8.94,0
209,82.55,16,18,971,32,27.61,0
210,59.77,12,24,510,26,2.58,0
211,62.9,14,60,2242,21,4.15,0
212,7.24,20,35,956,22,7.5,0
213,169.42,10,51,1420,21,1.57,0
214,31.69,8,56,1492,22,14.36,0
215,31.8,9,38,2809,26,17.48,0
216,196.12,22,30,1528,28,25.72,0
217,166.74,17,27,1571,22,5.77,0
218,137.62,13,24,177,21,7.72,0
219,14.14,9,42,522,33,9.52,0
220,87.91,7,64,2968,27,1.89,0
221,100.69,12,52,1300,29,5.13,0
222,58.03,19,52,2871,26,17.84,0
223,838.53,5,67,27,4,62.15,1
224,86.86,15,57,1914,29,17.92,0
225,91.85,12,58,1885,25,12.29,0
226,55.29,19,20,813,22,6.72,0
227,172.47,21,21,1188,22,1.51,0
228,10.54,14,65,2288,29,10.02,0
229,73.2,15,69,817,21,13.01,0
230,20.0,9,36,1755,28,2.18,0
231,53.68,17,29,1529,16,5.62,0
232,403.98,23,48,57,3,259.32,1
233,75.64,11,28,1864,23,1.8,0
234,69.79,16,61,462,30,19.92,0
235,103.5,14,25,2089,23,4.65,0
236,48.69,7,50,604,19,5.9,0
237,45.26,13,25,703,24,2.28,0
238,438.0,5,54,59,2,241.82,1
239,66.04,9,55,497,31,13.68,0
240,5.27,11,49,1674,28,34.09,0
241,55.29,7,55,270,31,16.17,0
242,36.02,12,46,230,26,12.82,0
243,74.53,9,67,2467,25,5.38,0
244,126.98,9,64,2013,25,7.6,0
245,12.99,13,61,670,23,17.64,0
246,31.48,18,46,1863,18,15.34,0
247,27.9,11,40,302,27,14.56,0
248,41.49,19,30,74,30,13.6,0
249,118.12,20,28,2298,28,8.96,0
250,123.34,16,21,1408,22,7.65,0
251,33.85,9,38,859,23,9.58,0
252,424.88,1,50,43,2,188.23,1
253,25.9,9,18,1128,28,4.01,0
254,49.45,11,35,1668,28,8.52,0
255,102.22,12,48,629,22,9.66,0
256,47.58,14,29,881,22,6.66,0
257,105.86,13,25,1154,24,22.03,0
258,70.23,14,59,2963,29,1.57,0
259,28.51,18,52,1880,25,4.61,0
260,114.67,13,47,1583,35,8.9,0
261,61.69,14,31,1492,18,2.34,0
262,123.97,12,32,942,27,6.28,0
263,94.25,13,49,1062,27,14.89,0
264,26.22,19,57,2394,20,20.53,0
265,94.1,16,57,166,26,6.3,0
266,206.45,15,34,2602,19,10.08,0
267,38.65,18,32,175,23,12.77,0
268,64.99,13,45,1273,27,5.56,0
269,59.71,13,39,1719,30,13.6,0
270,42.36,2,20,1630,18,4.96,0
271,104.98,7,31,588,19,7.61,0
272,78.34,15,36,1212,29,19.67,0
273,57.66,22,36,2274,18,9.69,0
274,10.85,9,61,2371,22,9.0,0
275,103.24,10,68,2110,18,16.25,0
276,8.64,15,49,1911,19,0.28,0
277,90.34,12,28,1606,12,10.64,0
278,95.57,17,32,1953,18,6.87,0
279,183.01,22,28,2730,22,14.34,0
280,93.35,16,57,326,23,3.84,0
281,201.59,17,20,2200,25,6.98,0
282,93.09,11,65,1584,25,4.54,0
283,73.07,13,66,1738,20,13.84,0
284,57.31,18,41,1163,16,16.74,0
285,32.42,7,33,607,26,13.47,0
286,51.63,12,55,1221,24,23.52,0
287,43.6,18,62,2517,25,3.89,0
288,93.3,13,49,1222,28,10.87,0
289,95.43,17,59,2699,27,7.35,0
290,419.6,2,54,38,0,230.29,1
291,973.03,23,22,7,2,83.01,1
292,54.53,12,54,1278,34,5.37,0
293,43.35,10,56,2299,22,5.7,0
294,81.43,13,69,1569,33,4.48,0
295,69.59,17,54,1604,25,11.08,0
296,43.36,16,27,531,21,4.95,0
297,158.58,14,34,2947,27,2.77,0
298,39.81,14,44,827,15,16.8,0
299,98.79,14,47,1042,27,11.29,0
300,92.31,7,36,2695,23,19.78,0
301,54.97,14,54,201,28,5.41,0
302,110.3,13,45,2695,28,1.27,0
303,95.47,13,51,1336,23,2.49,0
304,80.78,14,32,950,20,1.47,0
305,44.51,12,53,57,23,13.82,0
306,349.13,5,31,37,3,153.8,1
307,15.75,14,26,305,26,12.87,0
308,38.53,3,44,294,27,1.73,0
309,60.75,14,24,1520,20,18.31,0
310,54.7,18,50,173,18,14.62,0
311,185.45,14,27,64,23,1.79,0
312,88.1,16,57,434,22,3.34,0
313,202.5,18,48,2274,25,15.55,0
314,7.62,16,54,1593,25,15.79,0
315,119.67,14,30,1902,24,29.58,0
316,137.18,15,47,420,30,5.72,0
317,19.09,6,34,2923,22,9.82,0
318,82.19,9,33,887,24,7.57,0
319,88.81,12,55,714,32,6.82,0
320,61.21,8,63,350,23,25.79,0
321,70.27,17,52,500,33,6.4,0
322,38.3,7,22,335,27,6.17,0
323,71.93,13,57,537,26,1.92,0
324,126.06,11,37,335,26,16.28,0
325,108.16,15,37,1657,29,4.23,0
326,214.73,9,49,1508,29,2.34,0
327,135.88,14,33,2265,23,19.63,0
328,38.87,15,49,406,16,5.55,0
329,99.85,20,59,1230,24,5.53,0
330,271.86,14,59,159,31,7.33,0
331,68.44,18,29,2009,15,11.03,0
332,69.14,13,48,1397,21,7.5,0
333,110.33,15,64,2387,20,3.58,0
334,86.21,11,66,2089,20,1.47,0
335,95.75,10,55,2131,25,12.81,0
336,101.13,11,26,1611,31,5.93,0
337,14.28,17,57,2992,23,7.59,0
338,105.67,10,66,451,25,5.2,0
339,152.22,19,34,646,24,15.25,0
340,63.33,11,56,1812,21,7.4,0
341,79.51,17,64,2369,25,16.35,0
342,14.26,10,48,147,24,16.41,0
343,40.63,15,37,1951,29,28.68,0
344,137.23,8,22,1392,14,7.04,0
345,55.01,15,27,2729,30,2.32,0
346,135.19,13,50,342,27,6.49,0
347,209.61,12,49,609,25,16.53,0
348,33.33,19,64,828,26,1.55,0
349,97.42,4,48,870,23,8.01,0
350,48.41,18,35,1197,24,18.58,0
351,56.76,12,47,1790,26,15.1,0
352,41.13,13,47,639,35,9.23,0
353,25.21,21,66,1861,34,1.89,0
354,291.92,15,27,2358,25,22.32,0
355,126.84,16,40,2267,24,18.86,0
356,34.19,17,21,1937,29,5.29,0
357,41.1,11,55,1994,25,6.63,0
358,9.63,11,34,1520,20,4.48,0
359,122.53,18,32,1165,14,12.55,0
360,60.92,13,40,916,25,11.07,0
361,131.38,18,30,1107,18,7.91,0
362,77.4,11,29,2804,18,2.13,0
363,45.15,11,55,2393,23,0.91,0
364,91.4,11,67,359,20,4.27,0
365,70.34,17,39,2570,27,7.05,0
366,45.6,16,54,2780,21,4.23,0
367,17.95,11,52,1642,26,16.08,0
368,30.24,7,19,2831,20,7.9,0
369,127.6,12,25,292,34,1.04,0
370,23.38,10,49,545,21,8.31,0
371,101.9,12,63,2958,22,1.09,0
372,79.48,7,39,1342,24,16.97,0
373,38.36,12,28,274,26,10.18,0
374,120.87,6,67,2771,20,1.78,0
375,45.24,18,18,512,22,5.09,0
376,97.93,15,23,1211,25,5.1,0
377,131.51,11,18,1999,38,2.1,0
378,113.52,16,52,2995,19,12.01,0
379,83.31,20,62,2948,23,3.7,0
380,112.27,9,20,374,27,6.61,0
381,104.28,8,29,65,22,5.59,0
382,96.29,18,28,370,25,4.9,0
383,111.11,7,53,1221,24,6.01,0
384,153.19,17,47,361,25,2.54,0
385,255.73,18,40,556,27,13.08,0
386,91.02,13,69,1520,30,11.28,0
387,208.91,9,28,2345,20,6.18,0
388,55.17,11,66,1191,23,6.13,0
389,369.49,2,53,33,2,111.33,1
390,13.24,14,34,2420,19,7.23,0
391,67.76,14,43,1427,25,6.38,0
392,164.09,12,32,1857,24,11.68,0
393,18.0,15,48,592,24,21.18,0
394,104.48,14,21,2666,30,6.68,0
395,91.83,16,41,1932,18,8.78,0
396,36.59,17,19,2058,20,11.18,0
397,103.11,14,38,2193,16,13.44,0
398,104.21,10,33,1612,24,14.25,0
399,128.71,7,23,709,20,5.89,0
400,963.12,2,44,29,1,100.48,1
401,112.53,16,40,856,23,8.74,0
402,138.21,15,69,456,35,7.73,0
403,61.68,7,19,1745,39,15.62,0
404,184.59,18,36,873,19,5.55,0
405,50.23,16,40,1843,25,5.49,0
406,59.36,8,26,2310,21,16.95,0
407,25.48,17,27,173,21,6.88,0
408,45.65,16,44,2762,26,12.28,0
409,43.97,10,24,955,24,21.65,0
410,102.06,13,46,2330,30,2.54,0
411,48.35,16,54,1765,30,10.4,0
412,50.83,15,42,1008,24,8.71,0
413,159.01,11,65,87,19,4.03,0
414,33.53,12,57,941,16,44.4,0
415,38.37,9,60,1968,25,19.77,0
416,90.73,15,18,2330,26,9.72,0
417,98.84,14,68,1814,23,7.82,0
418,33.79,11,27,1687,26,9.16,0
419,69.09,10,68,48,25,4.56,0
420,103.43,16,56,2294,27,4.85,0
421,65.97,18,27,2375,31,2.71,0
422,35.44,14,34,156,29,1.9,0
423,38.86,13,33,1597,27,13.87,0
424,37.29,16,29,1916,26,9.52,0
425,76.67,17,25,2577,28,3.18,0
426,12.52,20,31,1832,18,16.1,0
427,51.38,18,68,1939,26,5.93,0
428,47.22,17,65,1489,31,8.95,0
429,283.73,14,69,2060,34,3.09,0
430,55.89,14,25,2572,25,3.06,0
431,197.25,16,39,1298,25,26.31,0
432,27.51,11,34,240,21,17.26,0
433,72.48,18,21,1079,19,9.89,0
434,127.81,19,60,771,30,14.74,0
435,84.07,11,66,645,22,25.29,0
436,174.61,9,63,982,31,0.76,0
437,119.02,9,55,874,34,2.52,0
438,19.78,8,48,2743,31,19.53,0
439,70.19,15,18,1664,38,10.64,0
440,19.94,12,29,868,24,4.79,0
441,43.04,8,52,2202,33,17.45,0
442,100.82,18,67,249,32,9.75,0
443,248.38,22,31,16,2,106.12,1
444,67.47,14,44,2309,27,6.41,0
445,85.98,16,39,1736,29,13.34,0
446,77.42,17,41,1607,31,1.39,0
447,26.09,17,50,1421,28,7.36,0
448,32.37,18,60,1149,22,4.95,0
449,100.23,21,42,2029,23,1.41,0
450,14.01,9,62,2927,31,5.55,0
451,97.47,9,42,919,25,12.64,0
452,61.63,15,58,1061,29,16.64,0
453,95.27,12,52,1931,33,1.06,0
454,93.49,15,39,1224,26,0.59,0
455,165.26,17,67,193,24,4.69,0
456,39.36,9,69,449,28,9.24,0
457,116.67,13,28,682,24,16.44,0
458,53.2,16,28,177,31,7.8,0
459,53.72,14,55,2979,19,7.43,0
460,83.86,9,59,1687,26,16.33,0
461,168.51,23,48,253,18,18.29,0
462,110.75,15,27,2212,23,8.39,0
463,64.7,11,22,933,24,3.47,0
464,158.16,4,53,17,1,113.66,1
465,111.31,15,23,2436,42,6.2,0
466,62.76,9,38,307,22,25.81,0
467,94.21,13,60,609,19,4.46,0
468,34.01,13,30,820,26,5.49,0
469,46.17,8,41,1577,24,6.92,0
470,43.41,15,38,2040,27,15.6,0
471,89.48,7,21,2382,26,2.55,0
472,37.36,14,41,1603,36,22.11,0
473,50.04,11,38,246,22,13.73,0
474,115.74,12,55,961,23,9.51,0
475,104.97,17,37,1825,16,14.88,0
476,660.7,22,65,47,1,126.94,1
477,47.92,21,31,1779,34,4.52,0
478,160.43,8,62,2347,35,4.25,0
479,65.36,14,29,626,34,6.33,0
480,44.7,11,57,58,26,18.68,0
481,146.37,17,40,2411,23,17.04,0
482,82.97,16,66,2316,29,10.81,0
483,84.25,18,38,2339,36,13.01,0
484,49.71,20,29,1474,24,32.74,0
485,16.36,15,45,1594,29,12.14,0
486,38.59,14,63,1890,25,8.15,0
487,87.14,17,22,549,21,19.87,0
488,26.98,14,32,1728,20,18.55,0
489,21.0,10,34,2567,21,16.26,0
490,57.94,14,57,1331,24,12.05,0
491,87.49,18,49,2845,35,11.64,0
492,139.32,15,41,618,28,11.39,0
493,66.82,17,37,1356,20,3.91,0
494,129.82,5,52,1903,23,6.44,0
495,97.13,20,25,2859,27,5.72,0
496,65.59,17,29,473,20,10.91,0
497,62.9,13,35,273,26,10.76,0
498,42.5,4,69,2506,26,1.17,0
499,93.92,13,21,967,18,23.54,0
500,97.02,14,37,2562,17,17.19,0
501,164.84,7,18,524,25,20.0,0
502,41.72,20,32,807,20,2.14,0
503,49.12,17,20,1682,24,6.03,0
504,34.89,11,65,761,25,7.28,0
505,132.46,5,30,800,23,8.29,0
506,162.41,5,46,56,2,228.42,1
507,37.96,11,28,64,23,2.87,0
508,178.4,8,51,357,21,6.3,0
509,193.3,1,64,52,1,152.15,1
510,74.64,14,51,2692,24,7.78,0
511,6.75,16,49,994,25,3.18,0
512,106.2,11,45,799,24,5.05,0
513,144.89,9,57,1732,24,14.28,0
514,72.56,11,53,460,32,2.24,0
515,89.18,14,57,37,28,29.85,0
516,15.63,15,23,464,25,5.58,0
517,6.14,10,26,2690,22,0.4,0
518,72.91,10,57,327,24,0.69,0
519,491.42,23,32,14,4,149.54,1
520,18.91,8,21,1811,30,5.97,0
521,33.61,10,49,953,25,4.45,0
522,114.04,11,69,1845,15,5.51,0
523,182.33,22,37,1942,19,32.83,0
524,70.43,19,35,682,20,25.33,0
525,137.22,5,63,749,37,3.0,0
526,37.48,19,69,2455,14,0.84,0
527,106.06,14,55,1917,27,5.6,0
528,17.2,9,25,1911,23,26.67,0
529,243.11,19,69,1753,26,15.77,0
530,79.39,19,67,2659,29,17.77,0
531,3.49,9,52,2037,24,3.42,0
532,69.83,14,49,1713,24,6.1,0
533,135.28,17,42,2078,29,2.61,0
534,24.96,17,43,894,24,8.35,0
535,182.22,13,47,303,23,1.95,0
536,41.14,8,43,714,21,13.35,0
537,155.82,14,27,588,18,6.12,0
538,17.32,6,32,813,18,10.57,0
539,70.98,12,65,2313,26,8.4,0
540,88.29,13,47,451,32,9.35,0
541,32.71,18,30,450,25,11.53,0
542,61.03,23,63,1363,22,8.34,0
543,69.12,18,37,2069,28,5.77,0
544,170.21,14,29,537,34,26.29,0
545,15.05,10,65,2555,39,0.47,0
546,322.08,2,67,12,5,132.2,1
547,106.09,8,23,2676,24,25.2,0
548,21.32,14,61,1901,23,13.64,0
549,54.24,19,43,807,22,5.36,0
550,96.96,6,22,1660,24,21.32,0
551,31.8,13,37,519,34,8.58,0
552,53.15,14,47,486,27,4.22,0
553,68.95,17,47,1781,25,16.61,0
554,51.14,18,25,1434,23,6.81,0
555,45.38,9,65,2324,28,16.4,0
556,72.69,16,64,1159,27,19.26,0
557,19.66,16,21,1095,27,4.07,0
558,68.5,13,40,1853,22,6.27,0
559,71.26,11,23,2881,20,1.62,0
560,218.13,11,52,1096,22,11.18,0
561,59.36,21,43,1336,26,2.47,0
562,368.41,23,54,53,0,111.55,1
563,30.54,15,35,2950,31,8.14,0
564,68.13,10,31,114,24,1.64,0
565,42.86,18,54,2473,31,4.68,0
566,14.01,20,19,2653,22,10.18,0
567,55.73,20,46,2068,19,9.77,0
568,37.97,16,41,2149,27,2.08,0
569,44.92,9,30,1962,28,14.07,0
570,798.35,23,27,52,5,129.62,1
571,20.45,14,40,937,26,6.43,0
572,139.69,11,45,2492,26,4.42,0
573,76.67,14,24,2627,34,8.5,0
574,33.03,11,46,105,18,13.26,0
575,23.8,10,56,2704,21,13.77,0
576,91.32,11,52,413,21,5.66,0
577,76.77,12,44,2206,25,9.3,0
578,46.21,13,48,1313,21,19.87,0
579,51.93,19,46,749,23,17.15,0
580,64.76,4,20,1261,21,12.17,0
581,71.24,16,65,158,37,3.32,0
582,25.61,6,56,105,20,4.91,0
583,40.86,14,49,182,30,3.13,0
584,98.4,9,52,1707,24,5.95,0
585,121.7,17,45,2049,30,25.02,0
586,198.25,10,56,1128,24,1.72,0
587,122.63,11,55,300,21,5.81,0
588,51.4,9,65,2050,14,22.81,0
589,44.86,10,38,282,24,2.2,0
590,83.83,6,50,1649,25,5.15,0
591,239.75,12,63,469,36,0.37,0
592,195.43,16,59,1455,19,9.37,0
593,82.27,12,66,2683,26,10.03,0
594,52.24,11,22,842,39,8.29,0
595,55.64,15,26,1441,34,20.33,0
596,36.39,11,39,1234,30,13.86,0
597,70.74,15,48,814,25,6.12,0
598,166.35,17,66,204,22,24.33,0
599,27.17,10,25,1732,24,2.53,0
600,57.47,20,48,948,34,1.35,0
601,52.71,19,39,2381,23,21.12,0
602,96.87,17,68,1234,24,2.8,0
603,85.66,13,68,735,39,13.97,0
604,11.72,8,41,1453,27,11.88,0
605,19.03,18,52,843,28,7.79,0
606,934.4,0,65,45,1,55.02,1
607,146.14,11,54,1290,25,9.47,0
608,62.98,10,42,1200,18,13.95,0
609,14.26,16,40,1667,18,8.63,0
610,147.41,10,58,480,21,3.09,0
611,99.1,19,37,837,24,10.23,0
612,113.78,14,27,866,31,13.19,0
613,18.06,17,67,711,17,11.68,0
614,70.67,16,59,2487,26,7.75,0
615,129.28,10,34,2739,23,26.35,0
616,20.85,11,45,1028,28,6.79,0
617,691.98,5,35,6,3,202.58,1
618,77.03,13,62,2675,28,14.06,0
619,1122.65,5,22,38,1,260.68,1
620,184.5,17,65,749,23,13.25,0
621,62.73,18,51,1687,25,1.15,0
622,26.53,23,24,1439,32,2.6,0
623,129.17,15,23,2092,17,6.66,0
624,39.4,16,67,685,19,4.45,0
625,40.21,17,24,268,25,16.27,0
626,166.54,16,40,1911,31,3.51,0
627,55.95,12,63,659,33,13.99,0
628,258.57,22,21,2,3,253.97,1
629,132.78,2,22,32,5,87.55,1
630,87.57,15,55,611,26,3.85,0
631,473.33,5,21,11,4,104.74,1
632,88.43,6,52,1688,21,9.26,0
633,38.54,11,54,72,30,14.59,0
634,150.98,7,52,2669,22,8.32,0
635,177.27,13,39,550,31,1.62,0
636,218.06,14,37,309,20,2.24,0
637,60.87,17,41,620,24,1.36,0
638,1069.83,4,65,25,4,127.0,1
639,36.55,4,56,2069,25,5.99,0
640,563.72,22,58,32,4,143.91,1
641,58.84,17,36,809,31,15.43,0
642,213.02,13,64,1922,20,10.69,0
643,51.94,13,23,1116,27,8.46,0
644,737.33,2,65,27,3,159.21,1
645,143.4,18,49,1501,28,8.47,0
646,169.14,9,61,759,27,10.32,0
647,605.95,3,58,18,3,139.53,1
648,109.48,10,40,508,31,5.51,0
649,34.29,18,18,728,21,8.08,0
650,155.43,14,62,2619,27,13.31,0
651,130.76,19,53,2440,29,18.64,0
652,62.49,8,35,1221,30,9.26,0
653,13.57,17,20,817,22,38.29,0
654,300.81,19,48,1583,19,9.28,0
655,509.61,22,46,22,1,56.73,1
656,149.52,11,52,74,21,12.74,0
657,160.46,9,33,2493,28,1.17,0
658,517.29,3,53,27,3,100.19,1
659,27.74,19,29,847,13,8.16,0
660,123.46,14,45,2742,37,1.05,0
661,135.46,16,58,350,16,10.68,0
662,96.48,16,57,1937,35,4.48,0
663,1266.1,23,50,29,3,287.08,1
664,75.31,14,43,1519,23,2.97,0
665,94.81,15,60,647,22,8.26,0
666,30.2,15,54,2994,25,7.23,0
667,154.09,7,56,2827,27,13.99,0
668,34.83,15,22,2715,20,6.02,0
669,94.17,22,18,567,29,5.69,0
670,27.83,16,53,2444,26,3.11,0
671,56.24,16,42,342,36,5.67,0
672,41.21,9,51,954,21,4.75,0
673,40.02,9,49,1590,20,22.96,0
